Exercise,Ent_P,Ent_R,Ent_F1,Attr_P,Attr_R,Attr_F1,Rel_P,Rel_R,Rel_F1,Ent_AllCorrect,Attr_AllCorrect,Rel_AllCorrect,Full_AllCorrect
Ex 251,0.6000,1.0000,0.7500,0.8235,0.8235,0.8235,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 254,0.6000,1.0000,0.7500,0.7333,0.6875,0.7097,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 255,1.0000,0.9091,0.9524,0.8727,0.9057,0.8889,1.0000,0.7273,0.8421,0,0.2000,0,0
Ex 256,0.6000,1.0000,0.7500,1.0000,0.8125,0.8966,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 259,0.7143,0.8333,0.7692,0.8261,0.7917,0.8085,0.6667,0.3333,0.4444,0,0.6000,0,0
Ex 261,1.0000,0.6000,0.7500,0.5714,0.6667,0.6154,0.6667,0.5000,0.5714,0,0.0000,0,0
Ex 262,1.0000,0.8750,0.9333,0.7812,0.7812,0.7812,0.7143,0.7143,0.7143,0,0.1429,0,0
Ex 263,0.3750,0.6000,0.4615,0.5556,0.3846,0.4545,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 264,1.0000,0.8571,0.9231,0.6471,0.7857,0.7097,0.8333,0.8333,0.8333,0,0.1667,0,0
Ex 266,0.7500,1.0000,0.8571,0.6923,0.8182,0.7500,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 268,0.4444,0.8000,0.5714,0.7143,0.6250,0.6667,0.6667,0.5000,0.5714,0,0.0000,0,0
Ex 270,0.6667,1.0000,0.8000,0.6111,0.6111,0.6111,1.0000,0.7500,0.8571,0,0.0000,0,0
Ex 272,0.8571,1.0000,0.9231,0.6957,0.8000,0.7442,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 273,0.4000,1.0000,0.5714,0.7143,0.6250,0.6667,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 274,0.8000,1.0000,0.8889,0.7500,0.7059,0.7273,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 276,0.5714,0.8000,0.6667,0.7500,0.6522,0.6977,1.0000,0.2000,0.3333,0,0.0000,0,0
Ex 278,0.6000,1.0000,0.7500,0.9333,0.7368,0.8235,1.0000,0.5000,0.6667,0,0.3333,0,0
Ex 280,0.8750,1.0000,0.9333,0.8261,0.8261,0.8261,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 281,0.7500,1.0000,0.8571,1.0000,0.7143,0.8333,0.5000,0.5000,0.5000,0,0.3333,0,0
Ex 282,0.8333,1.0000,0.9091,0.7368,0.8750,0.8000,1.0000,1.0000,1.0000,0,0.2000,1,0
Ex 283,0.5000,1.0000,0.6667,1.0000,0.8667,0.9286,0.0000,0.0000,0.0000,0,0.3333,0,0
Ex 284,0.5000,0.7500,0.6000,0.4615,0.8571,0.6000,1.0000,0.6667,0.8000,0,0.0000,0,0
Ex 285,0.5000,1.0000,0.6667,0.8571,0.4286,0.5714,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 286,0.8000,1.0000,0.8889,0.8462,0.7333,0.7857,1.0000,0.6667,0.8000,0,0.0000,0,0
Ex 288,1.0000,1.0000,1.0000,0.9000,0.7500,0.8182,0.6667,1.0000,0.8000,1,0.0000,0,0
Ex 289,0.6000,1.0000,0.7500,0.6667,0.6667,0.6667,0.6667,1.0000,0.8000,0,0.0000,0,0
Ex 290,0.5000,1.0000,0.6667,1.0000,0.7778,0.8750,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 291,0.8000,1.0000,0.8889,0.6842,0.6842,0.6842,0.6667,0.6667,0.6667,0,0.0000,0,0
Ex 292,0.4286,1.0000,0.6000,0.7500,0.8182,0.7826,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 294,0.8000,1.0000,0.8889,1.0000,0.8500,0.9189,1.0000,1.0000,1.0000,0,0.2500,1,0
Ex 297,0.6000,0.6000,0.6000,0.5000,0.5000,0.5000,1.0000,0.2500,0.4000,0,0.0000,0,0
Ex 298,0.6000,1.0000,0.7500,1.0000,0.8462,0.9167,1.0000,0.6667,0.8000,0,0.3333,0,0
Ex 299,1.0000,1.0000,1.0000,0.9167,0.8148,0.8627,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 300,0.5000,0.5000,0.5000,0.4667,0.7778,0.5833,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 303,1.0000,1.0000,1.0000,0.8235,0.8485,0.8358,0.8333,1.0000,0.9091,1,0.3333,0,0
Ex 306,1.0000,0.5455,0.7059,0.8000,0.8000,0.8000,0.5000,0.4286,0.4615,0,0.0000,0,0
Ex 307,1.0000,1.0000,1.0000,0.9474,0.7660,0.8471,0.2000,1.0000,0.3333,1,0.0000,0,0
Ex 308,1.0000,1.0000,1.0000,0.9565,0.8462,0.8980,0.6000,0.6000,0.6000,1,0.4000,0,0
Ex 309,0.6000,0.6000,0.6000,0.7333,0.6471,0.6875,0.5000,0.2000,0.2857,0,0.0000,0,0
Ex 310,1.0000,1.0000,1.0000,1.0000,0.8667,0.9286,0.0000,0.0000,0.0000,1,0.5000,0,0
Ex 311,0.6000,1.0000,0.7500,0.9375,0.8824,0.9091,1.0000,0.6667,0.8000,0,0.3333,0,0
Ex 312,1.0000,1.0000,1.0000,0.6364,0.7778,0.7000,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 313,0.8571,0.8571,0.8571,0.4762,0.5882,0.5263,1.0000,0.6667,0.8000,0,0.0000,0,0
Ex 314,0.8000,1.0000,0.8889,0.9231,0.7500,0.8276,0.8000,0.8000,0.8000,0,0.2500,0,0
Ex 316,0.6667,0.8000,0.7273,0.6471,0.7333,0.6875,1.0000,0.5000,0.6667,0,0.2500,0,0
Ex 317,0.4000,1.0000,0.5714,0.7500,0.7500,0.7500,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 318,0.4286,1.0000,0.6000,1.0000,0.7500,0.8571,0.0000,0.0000,0.0000,0,0.6667,0,0
Ex 319,0.2000,1.0000,0.3333,1.0000,0.7000,0.8235,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 320,0.8333,1.0000,0.9091,1.0000,0.8333,0.9091,1.0000,1.0000,1.0000,0,0.4000,1,0
Ex 321,0.5000,1.0000,0.6667,0.7143,0.3846,0.5000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 322,0.8750,1.0000,0.9333,0.8235,0.5000,0.6222,0.8333,0.7143,0.7692,0,0.0000,0,0
Ex 324,0.1818,1.0000,0.3077,0.4286,0.3000,0.3529,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 325,0.6667,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0,1.0000,1,0
Ex 326,0.6667,0.6667,0.6667,1.0000,0.8125,0.8966,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 327,0.8000,1.0000,0.8889,1.0000,0.6818,0.8108,1.0000,0.5000,0.6667,0,0.2500,0,0
Ex 329,0.5714,1.0000,0.7273,0.9231,0.8000,0.8571,1.0000,1.0000,1.0000,0,0.5000,1,0
Ex 331,0.4286,0.7500,0.5455,0.6364,0.3889,0.4828,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 332,0.8750,1.0000,0.9333,0.8750,0.6087,0.7179,0.6667,0.5714,0.6154,0,0.0000,0,0
Ex 334,1.0000,1.0000,1.0000,1.0000,0.8667,0.9286,1.0000,1.0000,1.0000,1,0.6667,1,0
Ex 335,0.4000,1.0000,0.5714,0.9000,0.7500,0.8182,0.0000,0.0000,0.0000,0,0.5000,0,0
Ex 339,0.4000,0.6667,0.5000,0.4545,0.7143,0.5556,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 340,0.7500,1.0000,0.8571,0.8276,0.8276,0.8276,0.8000,0.5000,0.6154,0,0.3333,0,0
Ex 343,0.6000,0.6000,0.6000,0.6875,0.8462,0.7586,0.5000,0.2500,0.3333,0,0.3333,0,0
Ex 344,0.5556,0.6250,0.5882,0.5833,0.3182,0.4118,1.0000,0.2500,0.4000,0,0.0000,0,0
Ex 345,0.6667,0.7500,0.7059,0.6818,0.6818,0.6818,0.5000,0.2857,0.3636,0,0.0000,0,0
Ex 346,0.3333,1.0000,0.5000,0.4444,0.3636,0.4000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 348,0.4000,1.0000,0.5714,0.8571,0.8571,0.8571,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 349,0.6000,1.0000,0.7500,1.0000,0.9565,0.9778,1.0000,1.0000,1.0000,0,0.6667,1,0
Ex 350,0.5833,1.0000,0.7368,1.0000,0.7692,0.8696,1.0000,0.4000,0.5714,0,0.1429,0,0
Ex 352,1.0000,1.0000,1.0000,0.7692,0.7692,0.7692,1.0000,1.0000,1.0000,1,0.2000,1,0
Ex 353,0.6250,1.0000,0.7692,0.7273,0.6957,0.7111,0.6000,0.7500,0.6667,0,0.2000,0,0
Ex 355,0.8000,0.8000,0.8000,0.8462,0.6111,0.7097,0.6667,0.4000,0.5000,0,0.0000,0,0
Ex 356,0.4000,1.0000,0.5714,0.6250,0.5000,0.5556,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 357,0.8571,0.8571,0.8571,0.8462,0.7097,0.7719,0.8000,0.6667,0.7273,0,0.0000,0,0
Ex 358,0.2500,1.0000,0.4000,0.6667,0.4000,0.5000,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 364,0.8000,1.0000,0.8889,0.8462,0.8462,0.8462,1.0000,0.6667,0.8000,0,0.5000,0,0
Ex 371,0.8000,1.0000,0.8889,1.0000,0.9355,0.9667,0.7500,1.0000,0.8571,0,0.7500,0,0
Ex 372,0.8000,0.5714,0.6667,0.3750,0.4286,0.4000,0.7500,0.3750,0.5000,0,0.0000,0,0
Ex 373,0.6667,0.8571,0.7500,0.4167,0.3448,0.3774,0.7500,0.4286,0.5455,0,0.0000,0,0
Ex 375,1.0000,1.0000,1.0000,0.9143,0.8649,0.8889,1.0000,1.0000,1.0000,1,0.5714,1,0
Ex 376,1.0000,0.7500,0.8571,0.8000,0.8000,0.8000,0.6667,0.6000,0.6316,0,0.1111,0,0
Ex 377,1.0000,1.0000,1.0000,0.7143,0.7143,0.7143,1.0000,1.0000,1.0000,1,0.3333,1,0
Ex 378,0.6667,0.4000,0.5000,0.8571,0.8571,0.8571,1.0000,0.1667,0.2857,0,0.0000,0,0
Ex 379,1.0000,0.6000,0.7500,1.0000,0.8571,0.9231,1.0000,0.3333,0.5000,0,0.3333,0,0
Ex 381,0.7500,1.0000,0.8571,0.7000,0.7000,0.7000,1.0000,0.5000,0.6667,0,0.3333,0,0
Ex 384,0.5714,0.6667,0.6154,0.8889,0.8000,0.8421,1.0000,0.6667,0.8000,0,0.2500,0,0
Ex 385,0.7500,1.0000,0.8571,0.8889,0.5000,0.6400,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 387,1.0000,1.0000,1.0000,1.0000,0.8750,0.9333,1.0000,1.0000,1.0000,1,0.4000,1,0
Ex 388,1.0000,1.0000,1.0000,0.7500,0.9375,0.8333,1.0000,1.0000,1.0000,1,0.1429,1,0
Ex 389,1.0000,1.0000,1.0000,0.9000,0.9000,0.9000,1.0000,1.0000,1.0000,1,0.2500,1,0
Ex 392,0.6667,1.0000,0.8000,0.8947,0.8095,0.8500,0.6667,1.0000,0.8000,0,0.0000,0,0
Ex 395,0.4286,1.0000,0.6000,1.0000,0.9167,0.9565,0.6667,1.0000,0.8000,0,0.6667,0,0
Ex 396,0.4444,0.5714,0.5000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0,1.0000,0,0
Ex 397,0.5000,1.0000,0.6667,0.7692,0.5556,0.6452,1.0000,0.6667,0.8000,0,0.0000,0,0
Ex 399,0.6667,1.0000,0.8000,0.9583,0.8214,0.8846,0.8000,0.6667,0.7273,0,0.3333,0,0
Ex 400,0.6250,0.8333,0.7143,0.9600,0.9600,0.9600,1.0000,0.6000,0.7500,0,0.6000,0,0
Ex 401,1.0000,1.0000,1.0000,0.8750,0.7778,0.8235,1.0000,0.2000,0.3333,1,0.0000,0,0
Ex 402,0.6923,1.0000,0.8182,0.7949,0.8378,0.8158,0.5000,0.6667,0.5714,0,0.1111,0,0
Ex 404,0.8000,0.8000,0.8000,1.0000,0.8500,0.9189,1.0000,0.5000,0.6667,0,0.5000,0,0
Ex 408,1.0000,1.0000,1.0000,1.0000,0.9333,0.9655,1.0000,1.0000,1.0000,1,0.7500,1,0
Ex 409,1.0000,1.0000,1.0000,0.7500,0.8182,0.7826,1.0000,1.0000,1.0000,1,0.0000,1,0
Ex 410,1.0000,1.0000,1.0000,0.9706,0.8919,0.9296,0.7500,1.0000,0.8571,1,0.5000,0,0
Ex 411,0.2857,0.6667,0.4000,1.0000,0.8235,0.9032,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 412,0.6667,1.0000,0.8000,0.8333,0.5882,0.6897,0.5000,0.3333,0.4000,0,0.0000,0,0
Ex 414,1.0000,1.0000,1.0000,1.0000,0.8077,0.8936,1.0000,0.8333,0.9091,1,0.5000,0,0
Ex 415,0.3333,0.6667,0.4444,1.0000,0.7692,0.8696,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 416,0.5714,0.4000,0.4706,0.5882,0.4348,0.5000,0.0000,0.0000,0.0000,0,0.0000,0,0
Ex 417,1.0000,0.6250,0.7692,0.8333,0.9615,0.8929,0.5000,0.2500,0.3333,0,0.4000,0,0
Ex 418,0.6667,1.0000,0.8000,0.9200,0.7931,0.8519,0.6667,1.0000,0.8000,0,0.2500,0,0
Ex 419,0.7143,1.0000,0.8333,0.9000,0.8182,0.8571,0.7500,0.7500,0.7500,0,0.0000,0,0
Ex 421,1.0000,1.0000,1.0000,0.8889,0.9231,0.9057,1.0000,1.0000,1.0000,1,0.3333,1,0
Ex 423,1.0000,0.8571,0.9231,0.7045,0.7561,0.7294,0.6000,0.5000,0.5455,0,0.0000,0,0
Ex 424,1.0000,1.0000,1.0000,0.9545,0.7000,0.8077,1.0000,0.5000,0.6667,1,0.0000,0,0
Ex 425,0.6667,0.8571,0.7500,0.8857,0.8611,0.8732,1.0000,0.5714,0.7273,0,0.5000,0,0
Ex 428,0.5000,0.8000,0.6154,0.9000,0.6429,0.7500,0.0000,0.0000,0.0000,0,0.2500,0,0
Ex 431,0.6667,0.6667,0.6667,1.0000,0.9375,0.9677,1.0000,0.5000,0.6667,0,0.7500,0,0
Ex 433,0.8000,1.0000,0.8889,0.9000,0.7500,0.8182,1.0000,0.7500,0.8571,0,0.0000,0,0
Ex 435,0.8571,1.0000,0.9231,0.8378,0.8857,0.8611,0.8333,1.0000,0.9091,0,0.1667,0,0
Ex 436,1.0000,0.8889,0.9412,0.8095,0.3864,0.5231,0.3333,0.3750,0.3529,0,0.0000,0,0
Ex 438,0.8333,0.8333,0.8333,1.0000,0.7857,0.8800,1.0000,0.4000,0.5714,0,0.2000,0,0
Ex 441,0.4286,1.0000,0.6000,0.8462,0.8462,0.8462,1.0000,1.0000,1.0000,0,0.3333,1,0
Ex 446,0.6667,0.6667,0.6667,0.8966,0.7027,0.7879,0.7500,0.2727,0.4000,0,0.1667,0,0
Ex 447,0.6250,1.0000,0.7692,0.9259,0.7576,0.8333,0.6667,0.5000,0.5714,0,0.0000,0,0
Ex 449,1.0000,1.0000,1.0000,0.8333,0.8333,0.8333,0.7143,1.0000,0.8333,1,0.1667,0,0
Ex 452,0.5000,1.0000,0.6667,1.0000,0.8261,0.9048,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 453,0.4000,0.6667,0.5000,1.0000,0.7000,0.8235,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 454,0.7143,0.7143,0.7143,0.7500,0.8333,0.7895,0.5000,0.3333,0.4000,0,0.2000,0,0
Ex 455,0.5714,1.0000,0.7273,0.5000,0.6364,0.5600,0.3333,0.3333,0.3333,0,0.0000,0,0
Ex 457,0.7778,1.0000,0.8750,0.9545,0.7500,0.8400,0.8000,0.6667,0.7273,0,0.4286,0,0
Ex 459,0.8000,1.0000,0.8889,0.7647,0.8125,0.7879,1.0000,0.8000,0.8889,0,0.0000,0,0
Ex 460,0.6000,1.0000,0.7500,1.0000,0.7857,0.8800,0.3333,1.0000,0.5000,0,0.0000,0,0
Ex 461,0.8333,0.8333,0.8333,0.8276,0.8571,0.8421,0.7500,0.6000,0.6667,0,0.0000,0,0
Ex 462,0.7500,0.7500,0.7500,0.8095,0.8095,0.8095,1.0000,0.3333,0.5000,0,0.0000,0,0
Ex 463,0.7500,1.0000,0.8571,1.0000,0.6842,0.8125,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 464,0.7500,0.7500,0.7500,0.8571,0.9231,0.8889,1.0000,0.4000,0.5714,0,0.3333,0,0
Ex 465,0.7500,1.0000,0.8571,1.0000,0.6875,0.8148,1.0000,0.5000,0.6667,0,0.3333,0,0
Ex 466,0.8000,1.0000,0.8889,0.9444,0.8947,0.9189,0.5000,0.5000,0.5000,0,0.2500,0,0
Ex 467,0.8889,0.8889,0.8889,0.8214,0.8214,0.8214,1.0000,0.7778,0.8750,0,0.0000,0,0
Ex 468,0.5000,1.0000,0.6667,0.7857,0.5238,0.6286,0.5000,0.5000,0.5000,0,0.0000,0,0
Ex 469,1.0000,1.0000,1.0000,1.0000,0.8462,0.9167,1.0000,0.7500,0.8571,1,0.2000,0,0
Ex 470,0.7500,0.8571,0.8000,0.8400,0.7778,0.8077,0.8000,0.5714,0.6667,0,0.1667,0,0
Ex 471,0.4286,1.0000,0.6000,0.9333,0.8235,0.8750,0.6667,1.0000,0.8000,0,0.0000,0,0
Ex 474,0.5000,1.0000,0.6667,0.6667,0.7143,0.6897,1.0000,0.6667,0.8000,0,0.0000,0,0
Ex 475,0.8333,1.0000,0.9091,0.8500,0.7083,0.7727,0.7500,0.7500,0.7500,0,0.0000,0,0
Ex 476,0.7273,0.7273,0.7273,0.7667,0.7667,0.7667,0.6000,0.4286,0.5000,0,0.2500,0,0
Ex 477,0.3333,1.0000,0.5000,0.7143,0.6250,0.6667,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 479,0.5000,1.0000,0.6667,0.5333,0.4706,0.5000,1.0000,0.6667,0.8000,0,0.0000,0,0
Ex 480,0.4286,1.0000,0.6000,0.9412,0.9412,0.9412,0.0000,0.0000,0.0000,0,0.6667,0,0
Ex 482,0.7143,1.0000,0.8333,1.0000,0.8462,0.9167,1.0000,0.7500,0.8571,0,0.4000,0,0
Ex 487,0.4000,1.0000,0.5714,0.8571,0.4615,0.6000,1.0000,1.0000,1.0000,0,0.5000,1,0
Ex 488,0.6667,1.0000,0.8000,0.8667,0.5417,0.6667,1.0000,1.0000,1.0000,0,0.0000,1,0
Ex 491,0.3846,1.0000,0.5556,0.6250,0.5263,0.5714,0.5000,1.0000,0.6667,0,0.0000,0,0
Ex 492,0.7500,1.0000,0.8571,0.6667,0.7273,0.6957,0.6667,0.6667,0.6667,0,0.0000,0,0
Ex 493,1.0000,0.8000,0.8889,0.7500,0.8571,0.8000,1.0000,0.7500,0.8571,0,0.0000,0,0
Ex 494,1.0000,0.8000,0.8889,0.9333,0.9333,0.9333,0.5000,0.2000,0.2857,0,0.5000,0,0
Ex 498,0.6250,1.0000,0.7692,0.7647,0.5909,0.6667,1.0000,1.0000,1.0000,0,0.2000,1,0
Ex 499,0.5556,1.0000,0.7143,0.8824,0.7143,0.7895,1.0000,0.5000,0.6667,0,0.0000,0,0
Ex 500,0.7500,1.0000,0.8571,1.0000,0.8077,0.8936,1.0000,0.6000,0.7500,0,0.1667,0,0
AVERAGE,0.7049,0.9076,0.7701,0.8248,0.7416,0.7739,0.77,0.6376,0.67,0.1456,0.1764,0.2532,0.0
